Classement,Quartier,Date,Anne,Occupancy rate,Average Price,RevPAR,Source
All,All,01-02-2019,2019,0.717638486,118.7678062,85.23234861,Mkg
All,All,01-02-2018,2018,0.695004919,113.6826874,79.01002689,Mkg
All,Autour du Ring,01-02-2019,2019,0.593288953,93.48491281,55.46356603,Mkg
All,Autour du Ring,01-02-2018,2018,0.625494782,96.75880915,60.52213026,Mkg
All,Brussels Airport,01-02-2019,2019,0.653205111,123.0588283,80.38265563,Mkg
All,Brussels Airport,01-02-2018,2018,0.664263498,118.4453805,78.67894278,Mkg
All,Grand Place & environs,01-02-2019,2019,0.747201065,117.7399168,87.97539116,Mkg
All,Grand Place & environs,01-02-2018,2018,0.731320679,111.7591851,81.73180309,Mkg
All,Quartier Louise,01-02-2019,2019,0.746122138,123.0874842,91.83829689,Mkg
All,Quartier Louise,01-02-2018,2018,0.710044188,121.6708505,86.39168032,Mkg
All,Quartier Europen,01-02-2019,2019,0.705067883,144.993606,102.2303347,Mkg
All,Quartier Europen,01-02-2018,2018,0.673994426,136.6367729,92.09242336,Mkg
All,Rogier/Botanique,01-02-2019,2019,0.747636527,103.2253241,77.17502286,Mkg
All,Rogier/Botanique,01-02-2018,2018,0.689603077,97.14950309,66.99459621,Mkg
All,Midi-Lemonnier,01-02-2019,2019,0.745252316,101.3535128,75.53394013,Mkg
All,Midi-Lemonnier,01-02-2018,2018,0.703203203,92.97210473,65.37828185,Mkg
3 stars,All,01-03-2019,2019,0.783664759,105.6219103,82.77216885,Mkg
3 stars,All,01-03-2018,2018,0.761469691,102.84968,78.31691407,Mkg
4 stars,All,01-03-2019,2019,0.756570066,133.7945484,101.2249503,Mkg
4 stars,All,01-03-2018,2018,0.717335659,129.6091195,92.97324312,Mkg
5 stars,All,01-03-2019,2019,0.657261261,176.8345304,116.2264865,Mkg
5 stars,All,01-03-2018,2018,0.66208722,171.9144407,113.8223541,Mkg
All,All,01-03-2019,2019,0.755644684,126.3669942,95.48854746,Mkg
All,All,01-03-2018,2018,0.728836501,122.6487087,89.39085573,Mkg
All,Autour du Ring,01-03-2019,2019,0.703709677,86.14004126,60.61758065,Mkg
All,Autour du Ring,01-03-2018,2018,0.687885782,88.54615325,60.90963985,Mkg
All,Brussels Airport,01-03-2019,2019,0.714099846,123.9405877,88.50595466,Mkg
All,Brussels Airport,01-03-2018,2018,0.707704598,120.0791782,84.9805865,Mkg
All,Grand Place & environs,01-03-2019,2019,0.793095156,128.7539312,102.1141192,Mkg
All,Grand Place & environs,01-03-2018,2018,0.759366621,126.0869708,95.74623696,Mkg
All,Quartier Louise,01-03-2019,2019,0.750007311,139.2764217,104.4583346,Mkg
All,Quartier Louise,01-03-2018,2018,0.719669788,134.5015828,96.79672559,Mkg
All,Quartier Europen,01-03-2019,2019,0.717323988,153.0386264,109.7782778,Mkg
All,Quartier Europen,01-03-2018,2018,0.693260385,148.7008973,103.0884413,Mkg
All,Rogier/Botanique,01-03-2019,2019,0.771000736,112.5809995,86.80003352,Mkg
All,Rogier/Botanique,01-03-2018,2018,0.733466283,107.4380689,78.80220109,Mkg
All,Midi-Lemonnier,01-03-2019,2019,0.836777468,108.6883723,90.94798101,Mkg
All,Midi-Lemonnier,01-03-2018,2018,0.783654001,104.3621936,81.78385059,Mkg
